booking_id,number_of_adults,number_of_children,number_of_weekend_nights,number_of_week_nights,type_of_meal,car_parking_space,room_type,lead_time,market_segment_type,repeated,p_c,p_not_c,average_price,special_requests,date_of_reservation,booking_status
INN00002,1,0,1,3,Not Selected,0,Room_Type 1,5,Online,0,0,0,106.68,1,2018-11-06,Not_Canceled
INN00008,3,0,1,3,Meal Plan 1,0,Room_Type 4,83,Online,0,0,0,105.61,1,2018-12-26,Not_Canceled
INN00010,2,0,0,5,Meal Plan 1,0,Room_Type 4,44,Online,0,0,0,133.44,3,2018-10-18,Not_Canceled
INN00013,2,0,2,1,Not Selected,0,Room_Type 1,30,Online,0,0,0,88.0,0,2018-11-26,Canceled
INN00014,1,0,2,0,Meal Plan 1,0,Room_Type 1,95,Online,0,0,0,90.0,2,2018-11-20,Canceled
INN00022,1,0,0,1,Meal Plan 1,0,Room_Type 1,122,Corporate,0,0,0,67.0,0,2018-11-25,Not_Canceled
INN00024,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,0,0,0,105.0,0,2018-10-13,Not_Canceled
INN00032,2,0,2,2,Meal Plan 1,0,Room_Type 1,107,Online,0,0,0,87.5,1,2018-11-13,Not_Canceled
INN00033,0,2,0,3,Meal Plan 1,0,Room_Type 2,56,Online,0,0,0,82.44,1,2018-12-07,Not_Canceled
INN00035,2,0,0,2,Meal Plan 1,0,Room_Type 1,72,Offline,0,0,0,85.5,0,2018-10-07,Not_Canceled
INN00039,2,0,2,3,Not Selected,0,Room_Type 1,247,Online,0,0,0,63.75,0,2018-11-19,Canceled
INN00041,2,0,0,4,Meal Plan 1,0,Room_Type 1,64,Online,0,0,0,93.6,2,2018-11-01,Not_Canceled
INN00049,2,0,0,4,Not Selected,0,Room_Type 1,57,Online,0,0,0,79.2,1,2018-11-01,Not_Canceled
INN00050,1,0,1,3,Meal Plan 1,0,Room_Type 4,7,Online,0,0,0,125.8,2,2018-12-29,Not_Canceled
INN00058,2,0,1,2,Meal Plan 1,0,Room_Type 1,117,Online,0,0,0,93.6,2,2018-12-26,Not_Canceled
INN00065,2,0,2,1,Meal Plan 1,0,Room_Type 1,86,Offline,0,0,0,75.0,0,2018-12-18,Not_Canceled
INN00066,2,0,0,3,Meal Plan 1,0,Room_Type 4,30,Online,0,0,0,157.5,2,2018-10-05,Not_Canceled
INN00072,2,0,1,0,Not Selected,0,Room_Type 1,34,Online,0,0,0,88.0,2,2018-11-14,Not_Canceled
INN00077,3,0,1,1,Meal Plan 1,0,Room_Type 4,267,Online,0,0,0,121.5,0,2018-12-31,Not_Canceled
INN00082,2,0,0,5,Meal Plan 1,0,Room_Type 4,128,Online,0,0,0,132.3,0,2018-10-11,Canceled
INN00083,2,0,2,0,Not Selected,0,Room_Type 1,20,Online,0,0,0,88.0,2,2018-12-25,Not_Canceled
INN00086,1,0,1,0,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,150.0,2,2018-10-17,Not_Canceled
INN00089,2,0,0,1,Not Selected,0,Room_Type 1,17,Online,1,0,5,95.0,0,2018-12-10,Not_Canceled
INN00099,2,0,0,3,Meal Plan 1,0,Room_Type 1,30,Online,0,0,0,76.08,1,2018-11-17,Not_Canceled
INN00100,2,2,1,3,Meal Plan 1,0,Room_Type 6,30,Online,0,0,0,156.9,0,2018-12-22,Not_Canceled
INN00101,2,0,1,0,Not Selected,0,Room_Type 1,189,Online,0,0,0,85.5,2,2018-10-23,Not_Canceled
INN00103,1,0,0,4,Meal Plan 1,0,Room_Type 1,55,Online,0,0,0,74.8,2,2018-12-13,Not_Canceled
INN00111,2,0,0,2,Meal Plan 1,0,Room_Type 1,182,Online,0,0,0,117.9,2,2018-09-30,Canceled
INN00118,2,1,2,5,Meal Plan 1,0,Room_Type 1,105,Online,0,0,0,102.83,3,2018-11-12,Not_Canceled
INN00127,1,0,0,1,Meal Plan 1,0,Room_Type 1,14,Online,0,0,0,112.0,1,2018-11-03,Canceled
INN00128,2,2,0,2,Meal Plan 1,0,Room_Type 6,110,Online,0,0,0,190.8,0,2018-10-14,Canceled
INN00131,2,0,0,2,Not Selected,0,Room_Type 1,1,Online,0,0,0,135.0,2,2018-10-20,Not_Canceled
INN00132,1,0,1,2,Meal Plan 1,0,Room_Type 1,25,Online,0,0,0,129.0,2,2018-10-17,Not_Canceled
INN00133,2,0,2,4,Not Selected,0,Room_Type 1,289,Online,0,0,0,70.55,2,2018-12-28,Canceled
INN00143,2,0,0,2,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,111.0,1,2018-11-18,Canceled
INN00144,2,0,2,2,Meal Plan 1,0,Room_Type 1,266,Online,0,0,0,86.7,2,2018-10-30,Not_Canceled
INN00152,2,0,0,3,Meal Plan 1,0,Room_Type 4,130,Online,0,0,0,139.5,2,2018-09-29,Canceled
INN00156,1,0,0,3,Meal Plan 1,0,Room_Type 1,4,Corporate,1,1,5,65.0,1,2018-11-01,Not_Canceled
INN00161,2,0,2,2,Meal Plan 1,0,Room_Type 1,62,Online,0,0,0,105.0,2,2018-11-12,Not_Canceled
INN00163,3,0,2,2,Meal Plan 1,0,Room_Type 7,3,Online,0,0,0,215.6,1,2018-10-07,Not_Canceled
INN00168,1,0,0,2,Meal Plan 1,0,Room_Type 1,13,Online,0,0,0,73.15,1,2018-11-16,Not_Canceled
INN00172,2,0,1,2,Not Selected,0,Room_Type 1,185,Online,0,0,0,79.2,0,2018-12-16,Canceled
INN00174,2,0,0,4,Meal Plan 1,0,Room_Type 1,104,Online,0,0,0,91.48,1,2018-10-18,Not_Canceled
INN00175,2,1,0,1,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,150.0,1,2018-11-05,Canceled
INN00183,2,0,0,1,Not Selected,0,Room_Type 1,109,Online,0,0,0,108.0,0,2018-10-11,Canceled
INN00190,1,0,2,2,Meal Plan 1,0,Room_Type 4,81,Online,0,0,0,146.6,1,2018-11-06,Not_Canceled
INN00191,2,0,1,2,Meal Plan 1,0,Room_Type 1,54,Online,0,0,0,118.8,0,2018-10-10,Canceled
INN00192,1,0,0,1,Meal Plan 1,0,Room_Type 1,15,Online,0,0,0,145.0,0,2018-10-06,Canceled
INN00200,2,0,1,2,Meal Plan 2,0,Room_Type 1,418,Online,0,0,0,107.0,0,2018-09-26,Canceled
INN00203,2,0,2,2,Not Selected,0,Room_Type 1,211,Online,0,0,0,63.75,0,2018-12-16,Canceled
INN00205,2,0,2,1,Meal Plan 1,0,Room_Type 1,58,Offline,0,0,0,75.0,1,2018-11-19,Not_Canceled
INN00209,2,0,2,4,Meal Plan 1,0,Room_Type 1,17,Online,0,0,0,98.39,0,2018-12-03,Not_Canceled
INN00216,1,0,1,1,Not Selected,0,Room_Type 1,13,Online,0,0,0,88.0,0,2018-12-05,Not_Canceled
INN00219,2,0,0,3,Meal Plan 1,0,Room_Type 1,335,Offline,0,0,0,90.0,1,2018-10-13,Not_Canceled
INN00233,1,0,0,2,Meal Plan 1,0,Room_Type 1,22,Offline,0,0,0,90.0,0,2018-10-28,Not_Canceled
INN00238,2,0,1,3,Meal Plan 1,0,Room_Type 1,36,Online,0,0,0,102.0,0,2018-12-26,Canceled
INN00239,2,0,2,2,Not Selected,0,Room_Type 1,35,Online,0,0,0,74.8,2,2018-12-02,Not_Canceled
INN00259,2,0,0,3,Not Selected,0,Room_Type 1,71,Online,0,0,0,108.0,1,2018-10-18,Not_Canceled
INN00264,1,0,2,2,Meal Plan 1,0,Room_Type 1,209,Online,0,0,0,152.1,1,2018-11-06,Canceled
INN00265,1,0,2,1,Meal Plan 1,0,Room_Type 1,93,Online,0,0,0,115.0,0,2018-10-15,Canceled
INN00269,2,0,0,3,Meal Plan 1,0,Room_Type 1,302,Online,0,0,0,90.3,2,2018-12-29,Canceled
INN00274,3,0,0,2,Meal Plan 1,0,Room_Type 4,57,Online,0,0,0,126.0,2,2018-12-09,Not_Canceled
INN00290,3,0,1,2,Meal Plan 1,0,Room_Type 1,245,Online,0,0,0,128.7,0,2018-10-28,Canceled
INN00296,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,Online,0,0,0,110.0,0,2018-11-01,Canceled
INN00300,2,0,2,6,Meal Plan 1,0,Room_Type 1,2,Online,0,0,0,92.54,2,2018-11-16,Not_Canceled
INN00301,1,0,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,0,0,0,95.0,0,2018-10-13,Not_Canceled
INN00304,2,0,1,2,Meal Plan 1,0,Room_Type 4,189,Online,0,0,0,109.8,0,2018-10-28,Canceled
INN00326,2,0,0,2,Not Selected,0,Room_Type 1,46,Online,0,0,0,79.2,1,2018-11-11,Canceled
INN00337,2,0,2,2,Meal Plan 1,0,Room_Type 1,38,Online,0,0,0,126.0,0,2018-10-02,Not_Canceled
INN00342,2,1,2,5,Meal Plan 1,0,Room_Type 1,95,Online,0,0,0,103.7,3,2018-12-21,Not_Canceled
INN00344,2,0,0,3,Meal Plan 1,0,Room_Type 1,45,Offline,0,0,0,75.0,0,2018-11-10,Not_Canceled
INN00356,2,1,1,1,Meal Plan 1,0,Room_Type 6,14,Online,0,0,0,168.25,1,2018-10-22,Not_Canceled
INN00363,2,0,0,1,Meal Plan 1,0,Room_Type 1,65,Online,0,0,0,135.9,1,2018-09-22,Not_Canceled
INN00364,2,0,0,2,Meal Plan 1,0,Room_Type 4,1,Online,0,0,0,130.0,1,2018-11-16,Not_Canceled
INN00370,2,0,2,0,Meal Plan 2,0,Room_Type 1,386,Online,0,0,0,115.0,1,2018-10-23,Canceled
INN00373,4,0,0,3,Meal Plan 1,0,Room_Type 7,86,Online,0,0,0,192.86,1,2018-10-20,Not_Canceled
INN00375,2,0,2,6,Meal Plan 1,0,Room_Type 1,36,Online,0,0,0,68.07,1,2018-12-10,Not_Canceled
INN00376,2,0,0,3,Meal Plan 1,0,Room_Type 1,50,Online,0,0,0,118.8,1,2018-10-04,Not_Canceled
INN00377,2,0,0,2,Meal Plan 1,0,Room_Type 4,115,Online,0,0,0,104.4,0,2018-10-27,Canceled
INN00383,2,2,2,2,Meal Plan 1,0,Room_Type 6,32,Online,0,0,0,147.9,0,2018-12-02,Canceled
INN00388,3,0,1,3,Meal Plan 1,0,Room_Type 4,155,Online,0,0,0,115.6,1,2018-12-26,Canceled
INN00393,1,0,0,1,Meal Plan 1,1,Room_Type 1,18,Corporate,1,3,19,67.0,0,2018-10-18,Not_Canceled
INN00398,1,0,0,4,Meal Plan 2,0,Room_Type 1,100,Offline,0,0,0,110.0,0,2018-09-28,Not_Canceled
INN00402,2,0,2,2,Meal Plan 1,0,Room_Type 1,213,Online,0,0,0,102.85,2,2018-10-01,Canceled
INN00408,2,1,1,3,Meal Plan 1,0,Room_Type 6,124,Online,0,0,0,156.61,2,2018-12-26,Canceled
INN00412,2,0,0,2,Meal Plan 1,0,Room_Type 1,48,Online,0,0,0,97.2,2,2018-11-04,Not_Canceled
INN00419,2,0,2,0,Meal Plan 2,0,Room_Type 1,386,Online,0,0,0,115.0,1,2018-10-23,Canceled
INN00421,2,0,1,3,Not Selected,0,Room_Type 1,122,Online,0,0,0,75.9,2,2018-11-14,Canceled
INN00424,1,0,2,2,Meal Plan 1,0,Room_Type 1,162,Online,0,0,0,115.0,0,2018-10-14,Canceled
INN00427,2,0,0,4,Not Selected,0,Room_Type 1,236,Online,0,0,0,84.43,1,2018-09-27,Canceled
INN00439,3,0,1,3,Meal Plan 2,0,Room_Type 4,63,Online,0,0,0,123.66,2,2018-10-24,Not_Canceled
INN00451,2,0,2,1,Not Selected,0,Room_Type 1,24,Online,0,0,0,107.1,1,2018-10-16,Canceled
INN00452,1,0,0,1,Meal Plan 1,0,Room_Type 1,53,Offline,0,0,0,120.0,0,2018-10-14,Not_Canceled
INN00453,2,0,2,1,Meal Plan 1,0,Room_Type 1,52,Online,0,0,0,93.6,2,2018-11-19,Not_Canceled
INN00457,2,1,1,3,Meal Plan 1,0,Room_Type 1,92,Online,0,0,0,106.43,1,2018-10-31,Canceled
INN00461,1,0,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,0,0,0,95.0,0,2018-10-13,Not_Canceled
INN00468,2,0,1,3,Not Selected,1,Room_Type 1,49,Online,0,0,0,83.8,2,2018-12-08,Not_Canceled
INN00475,2,0,1,1,Not Selected,0,Room_Type 1,38,Online,0,0,0,112.59,0,2018-09-26,Canceled
INN00477,2,0,0,1,Meal Plan 1,1,Room_Type 1,2,Online,0,0,0,169.0,2,2018-10-11,Not_Canceled
INN00478,2,0,3,7,Not Selected,0,Room_Type 1,217,Online,0,0,0,46.63,1,2018-12-05,Not_Canceled
INN00480,2,0,0,3,Not Selected,0,Room_Type 1,179,Online,0,0,0,85.5,2,2018-10-19,Not_Canceled
INN00491,2,0,1,2,Meal Plan 1,0,Room_Type 1,305,Online,0,0,0,89.0,0,2018-11-04,Canceled
INN00492,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,0,0,0,105.0,0,2018-10-13,Not_Canceled
INN00494,2,0,1,3,Meal Plan 1,0,Room_Type 4,14,Online,0,0,0,70.88,0,2018-12-05,Not_Canceled
INN00495,1,0,0,2,Not Selected,0,Room_Type 1,44,Online,0,0,0,83.6,2,2018-11-23,Not_Canceled
INN00503,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,Corporate,0,0,0,95.0,0,2018-10-17,Not_Canceled
INN00507,3,0,2,3,Meal Plan 1,0,Room_Type 4,209,Online,0,0,0,128.7,1,2018-10-21,Canceled
INN00509,2,0,1,2,Meal Plan 1,0,Room_Type 1,80,Online,0,0,0,93.6,2,2018-11-18,Not_Canceled
INN00513,2,0,0,2,Meal Plan 1,0,Room_Type 1,41,Online,0,0,0,160.0,1,2018-10-21,Canceled
INN00514,2,0,2,1,Meal Plan 1,0,Room_Type 4,154,Online,0,0,0,104.1,2,2018-10-30,Canceled
INN00519,1,0,0,1,Not Selected,0,Room_Type 1,0,Online,0,0,0,140.0,0,2018-10-15,Not_Canceled
INN00532,2,1,0,3,Meal Plan 1,0,Room_Type 1,86,Online,0,0,0,122.0,0,2018-12-08,Canceled
INN00534,2,0,1,3,Meal Plan 1,0,Room_Type 1,0,Online,0,0,0,89.89,1,2018-12-05,Not_Canceled
INN00541,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,Complementary,0,0,0,0.0,0,2018-11-19,Not_Canceled
INN00543,2,0,0,4,Meal Plan 1,0,Room_Type 4,47,Online,0,0,0,130.61,1,2018-09-27,Canceled
INN00547,2,0,2,2,Not Selected,0,Room_Type 1,75,Online,0,0,0,74.8,1,2018-12-02,Not_Canceled
INN00551,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,Offline,0,0,0,75.0,0,2018-11-29,Not_Canceled
INN00555,1,2,4,9,Meal Plan 1,0,Room_Type 6,30,Online,0,0,0,186.22,0,2018-11-02,Canceled
INN00556,2,0,2,0,Not Selected,0,Room_Type 1,117,Online,0,0,0,79.2,0,2018-11-13,Not_Canceled
INN00560,2,0,2,0,Meal Plan 2,0,Room_Type 1,386,Online,0,0,0,115.0,1,2018-10-23,Canceled
INN00562,2,0,0,1,Meal Plan 1,0,Room_Type 1,33,Online,0,0,0,104.0,1,2018-11-26,Canceled
INN00567,2,0,2,2,Meal Plan 1,0,Room_Type 4,45,Online,0,0,0,139.5,1,2018-10-07,Canceled
INN00572,2,0,0,3,Meal Plan 1,0,Room_Type 1,304,Online,0,0,0,89.0,0,2018-11-03,Canceled
INN00577,2,0,0,1,Not Selected,0,Room_Type 1,50,Online,0,0,0,108.0,1,2018-10-19,Canceled
INN00578,2,0,0,3,Meal Plan 1,0,Room_Type 4,48,Online,0,0,0,139.5,1,2018-10-11,Not_Canceled
INN00581,2,0,1,1,Not Selected,0,Room_Type 1,25,Online,0,0,0,129.0,1,2018-10-03,Canceled
INN00589,2,0,0,2,Meal Plan 1,0,Room_Type 1,79,Offline,0,0,0,192.03,1,2018-12-30,Not_Canceled
INN00592,2,0,0,3,Meal Plan 1,0,Room_Type 1,157,Offline,0,0,0,68.0,0,2018-12-08,Not_Canceled
INN00602,2,0,2,3,Meal Plan 1,0,Room_Type 1,256,Online,0,0,0,94.35,2,2018-10-23,Canceled
INN00609,2,0,0,4,Meal Plan 1,0,Room_Type 1,36,Online,0,0,0,168.73,0,2018-12-28,Not_Canceled
