booking_id,number_of_adults,number_of_children,number_of_weekend_nights,number_of_week_nights,type_of_meal,room_type,lead_time,market_segment_type,average_price,special_requests,date_of_reservation,booking_status
INN00001,1,1,2,5,Meal Plan 1,Room_Type 1,224,Offline,88.0,0,2015-10-02,Not_Canceled
INN00004,1,0,0,2,Meal Plan 1,Room_Type 1,211,Online,100.0,1,2017-05-20,Canceled
INN05456,2,0,0,4,Meal Plan 1,Room_Type 1,88,Online,76.5,1,2017-07-01,Canceled
INN13728,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN13908,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN34752,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN02006,2,0,0,2,Meal Plan 2,Room_Type 1,257,Online,101.5,0,2017-07-01,Canceled
INN14410,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN14890,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN27967,1,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,80.0,0,2017-07-01,Not_Canceled
INN27943,1,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,80.0,0,2017-07-01,Not_Canceled
INN02065,2,0,0,2,Meal Plan 2,Room_Type 1,257,Online,101.5,0,2017-07-01,Canceled
INN27897,1,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,80.0,0,2017-07-01,Not_Canceled
INN16790,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN28602,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN13132,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN28834,1,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,80.0,0,2017-07-01,Not_Canceled
INN05885,1,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,80.0,0,2017-07-01,Not_Canceled
INN11696,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN01776,1,0,0,4,Meal Plan 1,Room_Type 1,65,Online,68.0,1,2017-07-01,Canceled
INN29369,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN10639,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN29706,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN10319,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN09777,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
INN06451,2,0,0,2,Meal Plan 2,Room_Type 1,257,Online,101.5,0,2017-07-01,Canceled
INN30226,2,0,0,2,Meal Plan 2,Room_Type 1,257,Offline,101.5,0,2017-07-01,Canceled
