index,booking_id,number_of_adults,number_of_children,number_of_weekend_nights,number_of_week_nights,type_of_meal,car_parking_space,room_type,lead_time,market_segment_type,repeated,p_c,p_not_c,average_price,special_requests,date_of_reservation,booking_status,datetime,season
0,INN00001,1,1,2,5,Meal Plan 1,False,Room_Type 1,224,Offline,False,0,0,88.0,0,2015-10-02,Not_Canceled,2015-10-02,low
1,INN00002,1,0,1,3,Not Selected,False,Room_Type 1,5,Online,False,0,0,106.68,1,2018-11-06,Not_Canceled,2018-11-06,low
2,INN00003,2,1,1,3,Meal Plan 1,False,Room_Type 1,1,Online,False,0,0,50.0,0,2018-02-28,Canceled,2018-02-28,low
3,INN00004,1,0,0,2,Meal Plan 1,False,Room_Type 1,211,Online,False,0,0,100.0,1,2017-05-20,Canceled,2017-05-20,high
4,INN00005,1,0,1,2,Not Selected,False,Room_Type 1,48,Online,False,0,0,77.0,0,2018-04-11,Canceled,2018-04-11,low
6,INN00007,1,1,1,4,Meal Plan 1,False,Room_Type 1,34,Online,False,0,0,107.55,1,2017-10-15,Not_Canceled,2017-10-15,low
7,INN00008,3,0,1,3,Meal Plan 1,False,Room_Type 4,83,Online,False,0,0,105.61,1,2018-12-26,Not_Canceled,2018-12-26,low
8,INN00009,1,1,0,4,Meal Plan 1,False,Room_Type 1,121,Offline,False,0,0,96.9,1,2018-07-06,Not_Canceled,2018-07-06,low
9,INN00010,2,0,0,5,Meal Plan 1,False,Room_Type 4,44,Online,False,0,0,133.44,3,2018-10-18,Not_Canceled,2018-10-18,high
10,INN00011,1,0,1,0,Not Selected,False,Room_Type 1,0,Online,False,0,0,85.03,0,2018-09-11,Not_Canceled,2018-09-11,low
11,INN00012,1,0,2,1,Meal Plan 1,False,Room_Type 4,35,Online,False,0,0,140.4,1,2018-04-30,Not_Canceled,2018-04-30,high
12,INN00013,2,0,2,1,Not Selected,False,Room_Type 1,30,Online,False,0,0,88.0,0,2018-11-26,Canceled,2018-11-26,high
13,INN00014,1,0,2,0,Meal Plan 1,False,Room_Type 1,95,Online,False,0,0,90.0,2,2018-11-20,Canceled,2018-11-20,low
14,INN00015,2,0,0,2,Meal Plan 1,False,Room_Type 1,47,Online,False,0,0,94.5,2,2017-10-20,Not_Canceled,2017-10-20,high
15,INN00016,2,0,0,2,Meal Plan 2,False,Room_Type 1,256,Online,False,0,0,115.0,1,2018-06-15,Canceled,2018-06-15,low
16,INN00017,1,0,1,0,Meal Plan 1,False,Room_Type 1,0,Offline,False,0,0,96.0,0,2017-10-05,Not_Canceled,2017-10-05,low
17,INN00018,2,0,1,3,Not Selected,False,Room_Type 1,1,Online,False,0,0,96.0,1,2017-08-10,Not_Canceled,2017-08-10,high
18,INN00019,2,0,2,2,Meal Plan 1,False,Room_Type 1,99,Online,False,0,0,65.0,0,2017-10-30,Canceled,2017-10-30,low
19,INN00020,2,0,1,0,Meal Plan 1,False,Room_Type 1,12,Offline,False,0,0,72.0,0,2017-10-04,Not_Canceled,2017-10-04,low
20,INN00021,2,0,2,2,Meal Plan 1,False,Room_Type 1,99,Online,False,0,0,65.0,0,2017-10-30,Canceled,2017-10-30,low
21,INN00022,1,0,0,1,Meal Plan 1,False,Room_Type 1,122,Corporate,False,0,0,67.0,0,2018-11-25,Not_Canceled,2018-11-25,low
22,INN00023,2,0,2,4,Meal Plan 1,False,Room_Type 1,2,Offline,False,0,0,85.0,0,2018-03-20,Not_Canceled,2018-03-20,low
23,INN00024,2,0,0,3,Meal Plan 1,False,Room_Type 1,37,Offline,False,0,0,105.0,0,2018-10-13,Not_Canceled,2018-10-13,low
24,INN00025,2,0,2,1,Not Selected,False,Room_Type 1,130,Online,False,0,0,94.5,1,2018-05-22,Not_Canceled,2018-05-22,low
25,INN00026,2,0,0,2,Meal Plan 1,False,Room_Type 1,99,Online,False,0,0,114.3,1,2018-04-28,Not_Canceled,2018-04-28,high
27,INN00028,1,0,0,2,Meal Plan 1,False,Room_Type 4,2,Aviation,False,0,0,110.0,0,2018-05-19,Canceled,2018-05-19,low
28,INN00029,1,0,1,2,Meal Plan 1,False,Room_Type 1,37,Online,False,0,0,37.33,0,2017-11-06,Canceled,2017-11-06,high
29,INN00030,2,0,0,2,Meal Plan 2,False,Room_Type 1,56,Offline,False,0,0,82.0,0,2017-09-17,Not_Canceled,2017-09-17,low
30,INN00031,2,0,1,1,Meal Plan 1,False,Room_Type 4,3,Online,False,0,0,177.5,1,2017-09-19,Not_Canceled,2017-09-19,low
31,INN00032,2,0,2,2,Meal Plan 1,False,Room_Type 1,107,Online,False,0,0,87.5,1,2018-11-13,Not_Canceled,2018-11-13,low
32,INN00033,0,2,0,3,Meal Plan 1,False,Room_Type 2,56,Online,False,0,0,82.44,1,2018-12-07,Not_Canceled,2018-12-07,low
33,INN00034,2,0,0,1,Not Selected,False,Room_Type 1,2,Online,False,0,0,69.5,1,2018-01-09,Not_Canceled,2018-01-09,low
34,INN00035,2,0,0,2,Meal Plan 1,False,Room_Type 1,72,Offline,False,0,0,85.5,0,2018-10-07,Not_Canceled,2018-10-07,high
35,INN00036,2,0,0,1,Not Selected,True,Room_Type 1,23,Online,False,0,0,115.0,1,2018-04-27,Not_Canceled,2018-04-27,low
36,INN00037,1,0,2,1,Meal Plan 1,False,Room_Type 1,34,Online,False,0,0,81.0,0,2018-06-19,Canceled,2018-06-19,high
