booking_id,number_of_adults,number_of_children,number_of_weekend_nights,number_of_week_nights,lead_time,average_price,special_requests,date_of_reservation,market_segment_type_corporate,market_segment_type_offline,market_segment_type_online,market_segment_type_other,room_type_other,room_type_room_type_1,room_type_room_type_4,season_high,season_low,type_of_meal_meal_plan_1,type_of_meal_meal_plan_2,type_of_meal_not_selected
INN00001,-1.6419169370926574,2.63724547235569,1.34361995718518,1.9663788824434296,2.273880408250595,-0.5038034250378044,-0.7662568340668664,2015-10-02,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
INN00004,-1.6419169370926574,-0.2368803826590979,-0.9319054662930276,-0.1432932225952964,2.0784780513865786,-0.0756672729503596,0.5793870422445166,2017-05-20,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
INN03899,0.2991879388581454,-0.2368803826590979,-0.9319054662930276,-0.1432932225952964,2.769901775674636,-0.022150253939429,-0.7662568340668664,2017-07-01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN03872,0.2991879388581454,-0.2368803826590979,-0.9319054662930276,-0.1432932225952964,2.769901775674636,-0.022150253939429,-0.7662568340668664,2017-07-01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN20996,0.2991879388581454,-0.2368803826590979,-0.9319054662930276,-0.1432932225952964,2.769901775674636,-0.022150253939429,-0.7662568340668664,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN26528,0.2991879388581454,-0.2368803826590979,-0.9319054662930276,-0.1432932225952964,2.769901775674636,-0.022150253939429,-0.7662568340668664,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN08742,2.240292814808948,-0.2368803826590979,0.2058572454460761,1.2631548474305212,1.6275495355465412,0.3346298728001081,-0.7662568340668664,2017-07-01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
INN21337,-1.6419169370926574,-0.2368803826590979,-0.9319054662930276,-0.1432932225952964,2.769901775674636,-0.7892275264294342,-0.7662568340668664,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN26473,0.2991879388581454,-0.2368803826590979,-0.9319054662930276,-0.1432932225952964,2.769901775674636,-0.022150253939429,-0.7662568340668664,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN00770,0.2991879388581454,-0.2368803826590979,-0.9319054662930276,-0.1432932225952964,2.769901775674636,-0.022150253939429,-0.7662568340668664,2017-07-01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN26322,0.2991879388581454,-0.2368803826590979,-0.9319054662930276,-0.1432932225952964,2.769901775674636,-0.022150253939429,-0.7662568340668664,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN02487,0.2991879388581454,-0.2368803826590979,-0.9319054662930276,-0.1432932225952964,2.769901775674636,-0.022150253939429,-0.7662568340668664,2017-07-01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN02539,-1.6419169370926574,-0.2368803826590979,-0.9319054662930276,-0.1432932225952964,2.769901775674636,-0.7892275264294342,-0.7662568340668664,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN23354,0.2991879388581454,-0.2368803826590979,-0.9319054662930276,-0.1432932225952964,2.769901775674636,-0.022150253939429,-0.7662568340668664,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN32763,0.2991879388581454,-0.2368803826590979,-0.9319054662930276,-0.1432932225952964,2.769901775674636,-0.022150253939429,-0.7662568340668664,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN31969,-1.6419169370926574,-0.2368803826590979,-0.9319054662930276,-0.1432932225952964,2.769901775674636,-0.7892275264294342,-0.7662568340668664,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN00696,0.2991879388581454,-0.2368803826590979,-0.9319054662930276,-0.1432932225952964,2.769901775674636,-0.022150253939429,-0.7662568340668664,2017-07-01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN26643,0.2991879388581454,-0.2368803826590979,-0.9319054662930276,-0.1432932225952964,2.769901775674636,-0.022150253939429,-0.7662568340668664,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN19656,0.2991879388581454,-0.2368803826590979,-0.9319054662930276,-0.1432932225952964,2.769901775674636,-0.022150253939429,-0.7662568340668664,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN07200,0.2991879388581454,-0.2368803826590979,-0.9319054662930276,-0.1432932225952964,2.769901775674636,-0.022150253939429,-0.7662568340668664,2017-07-01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN06955,0.2991879388581454,-0.2368803826590979,-0.9319054662930276,-0.1432932225952964,2.769901775674636,-0.022150253939429,-0.7662568340668664,2017-07-01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN30908,-1.6419169370926574,-0.2368803826590979,-0.9319054662930276,-0.1432932225952964,2.769901775674636,-0.7892275264294342,-0.7662568340668664,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN07680,0.2991879388581454,-0.2368803826590979,-0.9319054662930276,-0.1432932225952964,2.769901775674636,-0.022150253939429,-0.7662568340668664,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN07285,0.2991879388581454,-0.2368803826590979,-0.9319054662930276,-0.1432932225952964,2.769901775674636,-0.022150253939429,-0.7662568340668664,2017-07-01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN25389,0.2991879388581454,-0.2368803826590979,-0.9319054662930276,-0.1432932225952964,2.769901775674636,-0.022150253939429,-0.7662568340668664,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN32758,0.2991879388581454,-0.2368803826590979,-0.9319054662930276,-0.1432932225952964,2.769901775674636,-0.022150253939429,-0.7662568340668664,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
