booking_id,number_of_adults,number_of_children,number_of_weekend_nights,number_of_week_nights,lead_time,average_price,special_requests,date_of_reservation,market_segment_type_corporate,market_segment_type_offline,market_segment_type_online,market_segment_type_other,room_type_other,room_type_room_type_1,room_type_room_type_4,season_high,season_low,type_of_meal_meal_plan_1,type_of_meal_meal_plan_2,type_of_meal_not_selected
INN00001,1,1,2,5,224,88.0,0,2015-10-02,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
INN00004,1,0,0,2,211,100.0,1,2017-05-20,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
INN03899,2,0,0,2,257,101.5,0,2017-07-01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN03872,2,0,0,2,257,101.5,0,2017-07-01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN20996,2,0,0,2,257,101.5,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN26528,2,0,0,2,257,101.5,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN08742,3,0,1,4,181,111.5,0,2017-07-01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
INN21337,1,0,0,2,257,80.0,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN26473,2,0,0,2,257,101.5,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN00770,2,0,0,2,257,101.5,0,2017-07-01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN26322,2,0,0,2,257,101.5,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN02487,2,0,0,2,257,101.5,0,2017-07-01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN02539,1,0,0,2,257,80.0,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN23354,2,0,0,2,257,101.5,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN32763,2,0,0,2,257,101.5,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN31969,1,0,0,2,257,80.0,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN00696,2,0,0,2,257,101.5,0,2017-07-01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN26643,2,0,0,2,257,101.5,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN19656,2,0,0,2,257,101.5,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN07200,2,0,0,2,257,101.5,0,2017-07-01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN06955,2,0,0,2,257,101.5,0,2017-07-01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN30908,1,0,0,2,257,80.0,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN07680,2,0,0,2,257,101.5,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN07285,2,0,0,2,257,101.5,0,2017-07-01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN25389,2,0,0,2,257,101.5,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN32758,2,0,0,2,257,101.5,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN08291,2,0,2,4,92,76.5,2,2017-07-01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
INN17341,2,0,0,2,257,101.5,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN01133,2,0,0,2,257,101.5,0,2017-07-01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN00584,1,0,0,2,257,80.0,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN33774,2,0,0,2,257,101.5,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN19250,2,0,0,2,257,101.5,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN04137,2,0,1,4,181,76.5,0,2017-07-01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
INN21037,1,0,0,2,257,80.0,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN23757,1,0,0,2,257,80.0,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN32067,2,0,0,2,257,101.5,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN17109,1,0,0,2,257,80.0,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN13132,2,0,0,2,257,101.5,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN28602,2,0,0,2,257,101.5,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN16790,2,0,0,2,257,101.5,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN27897,1,0,0,2,257,80.0,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN02065,2,0,0,2,257,101.5,0,2017-07-01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN27943,1,0,0,2,257,80.0,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN28834,1,0,0,2,257,80.0,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN24533,2,0,0,2,257,101.5,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN14410,2,0,0,2,257,101.5,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN02006,2,0,0,2,257,101.5,0,2017-07-01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN34752,2,0,0,2,257,101.5,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN13908,2,0,0,2,257,101.5,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN13728,2,0,0,2,257,101.5,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN05456,2,0,0,4,88,76.5,1,2017-07-01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
INN14890,2,0,0,2,257,101.5,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN05885,1,0,0,2,257,80.0,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
INN27967,1,0,0,2,257,80.0,0,2017-07-01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
